Calendar;Date;Name;Active;Source;Kind;Status;Version;Updated
BD;2026-02-04;Mid-Sha'ban;1;https://github.com/vacanza/holidays/blob/v0.105/holidays/countries/bangladesh.py;HOLIDAY;"Da regole; non verificata singolarmente";0.105;2026-09-23T20:51:39+00:00
BD;2026-02-21;Martyrs' Day and International Mother Language Day;1;https://github.com/vacanza/holidays/blob/v0.105/holidays/countries/bangladesh.py;HOLIDAY;"Da regole; non verificata singolarmente";0.105;2026-09-23T20:51:39+00:00
BD;2026-03-17;Laylat al-Qadr;1;https://github.com/vacanza/holidays/blob/v0.105/holidays/countries/bangladesh.py;HOLIDAY;"Da regole; non verificata singolarmente";0.105;2026-09-23T20:51:39+00:00
BD;2026-03-20;Jumu'atul-Wida;1;https://github.com/vacanza/holidays/blob/v0.105/holidays/countries/bangladesh.py;HOLIDAY;"Da regole; non verificata singolarmente";0.105;2026-09-23T20:51:39+00:00
BD;2026-03-21;Eid al-Fitr;1;https://github.com/vacanza/holidays/blob/v0.105/holidays/countries/bangladesh.py;HOLIDAY;"Da regole; non verificata singolarmente";0.105;2026-09-23T20:51:39+00:00
BD;2026-03-22;Eid al-Fitr;1;https://github.com/vacanza/holidays/blob/v0.105/holidays/countries/bangladesh.py;HOLIDAY;"Da regole; non verificata singolarmente";0.105;2026-09-23T20:51:39+00:00
BD;2026-03-23;Eid al-Fitr;1;https://github.com/vacanza/holidays/blob/v0.105/holidays/countries/bangladesh.py;HOLIDAY;"Da regole; non verificata singolarmente";0.105;2026-09-23T20:51:39+00:00
BD;2026-03-26;Independence Day;1;https://github.com/vacanza/holidays/blob/v0.105/holidays/countries/bangladesh.py;HOLIDAY;"Da regole; non verificata singolarmente";0.105;2026-09-23T20:51:39+00:00
BD;2026-04-14;Bengali New Year's Day;1;https://github.com/vacanza/holidays/blob/v0.105/holidays/countries/bangladesh.py;HOLIDAY;"Da regole; non verificata singolarmente";0.105;2026-09-23T20:51:39+00:00
BD;2026-05-01;May Day;1;https://github.com/vacanza/holidays/blob/v0.105/holidays/countries/bangladesh.py;HOLIDAY;"Da regole; non verificata singolarmente";0.105;2026-09-23T20:51:39+00:00
BD;2026-05-28;Eid al-Adha;1;https://github.com/vacanza/holidays/blob/v0.105/holidays/countries/bangladesh.py;HOLIDAY;"Da regole; non verificata singolarmente";0.105;2026-09-23T20:51:39+00:00
BD;2026-05-29;Eid al-Adha;1;https://github.com/vacanza/holidays/blob/v0.105/holidays/countries/bangladesh.py;HOLIDAY;"Da regole; non verificata singolarmente";0.105;2026-09-23T20:51:39+00:00
BD;2026-05-30;Eid al-Adha;1;https://github.com/vacanza/holidays/blob/v0.105/holidays/countries/bangladesh.py;HOLIDAY;"Da regole; non verificata singolarmente";0.105;2026-09-23T20:51:39+00:00
BD;2026-06-26;Ashura;1;https://github.com/vacanza/holidays/blob/v0.105/holidays/countries/bangladesh.py;HOLIDAY;"Da regole; non verificata singolarmente";0.105;2026-09-23T20:51:39+00:00
