Utc;Phase;Between;Source
"2025-01-06T23:56:00";"Primo quarto";"Gibbosa crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-01-13T22:27:00";"Luna piena";"Gibbosa calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-01-21T20:31:00";"Ultimo quarto";"Falce calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-01-29T12:36:00";"Luna nuova";"Falce crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-02-05T08:02:00";"Primo quarto";"Gibbosa crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-02-12T13:53:00";"Luna piena";"Gibbosa calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-02-20T17:32:00";"Ultimo quarto";"Falce calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-02-28T00:45:00";"Luna nuova";"Falce crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-03-06T16:31:00";"Primo quarto";"Gibbosa crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-03-14T06:55:00";"Luna piena";"Gibbosa calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-03-22T11:29:00";"Ultimo quarto";"Falce calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-03-29T10:58:00";"Luna nuova";"Falce crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-04-05T02:15:00";"Primo quarto";"Gibbosa crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-04-13T00:22:00";"Luna piena";"Gibbosa calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-04-21T01:35:00";"Ultimo quarto";"Falce calante";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
"2025-04-27T19:31:00";"Luna nuova";"Falce crescente";"https://aa.usno.navy.mil/api/moon/phases/year?year=2025"
